t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650
847.4667,0.05291233,0.00354552,0.01200087,0.01582706,0.00573688,0.00322868,0.05876543,0.5017284,0.0006036,0.45198639,0.00196841,0.24894632,0.00020156,0.15467609,0.00046369,0.21209902,0.01788024,0.17620225
847.5667,0.05640866,0.00524691,0.01025656,0.01346402,0.00530382,0.00298563,0.03226337,0.57333333,0.0,0.41127085,0.00027789,0.26353573,0.0,0.14648345,0.0014859,0.2061238,0.01544447,0.18889841
847.6667,0.05717834,0.00488715,0.00946663,0.01132427,0.00496914,0.00253858,0.01152263,0.62880658,0.0,0.31003073,0.00094947,0.24702422,3.557e-05,0.17238926,0.00349345,0.20611327,0.01481667,0.16593378
847.7667,0.06603781,0.00563223,0.00898293,0.01438947,0.00444637,0.00360966,0.01349794,0.5817284,0.00027436,0.28852063,0.0,0.21541383,0.00058095,0.26633785,0.0029718,0.20312566,0.01506995,0.15456059
847.8667,0.07175588,0.00486159,0.00824846,0.01594811,0.00420332,0.00437693,0.01465021,0.62436214,0.00137182,0.2785338,9.263e-05,0.17486453,0.00045054,0.22220905,0.00300341,0.1969186,0.01174502,0.15719036
847.9667,0.07490355,0.0035272,0.00813706,0.01108073,0.00456019,0.0028072,0.01432099,0.43226337,0.00038411,0.27277217,0.0,0.18970867,0.00011856,0.19228398,0.00440501,0.20119188,0.01174502,0.13097086
848.0667,0.08421875,0.00302083,0.01029659,0.00789593,0.00458574,0.00181231,0.01465021,0.11160494,0.00175593,0.16516681,0.00048631,0.31084711,0.00017784,0.37854501,0.00111179,0.2195654,0.01138666,0.06711556
848.1667,0.09735677,0.00395448,0.0100463,0.00896123,0.00573929,0.0020814,0.0217284,0.64559671,0.0,0.58625988,0.0,0.34637117,0.00017784,0.28201176,0.0003583,0.25406251,0.03072459,0.07841061
848.2667,0.0901278,0.00381269,0.01134645,0.00955777,0.006712,0.00238571,0.01744856,0.64839506,0.0,0.5154741,0.00409893,0.29651244,0.01077729,0.26228303,0.00181786,0.2572925,0.03470695,0.10247726
848.3667,0.09378713,0.00353877,0.01127074,0.01025029,0.00684751,0.00241995,0.0200823,0.70288066,0.0,0.5852173,0.0,0.26013154,0.0,0.25570284,0.00658117,0.29185811,0.03734211,0.10524713
848.4667,0.0988696,0.00319975,0.01194878,0.00996914,0.00643181,0.00255401,0.02238683,0.59012346,0.0,0.54334943,0.00027789,0.30343662,0.0027625,0.26172579,0.01445327,0.28714222,0.03791063,0.10447653
848.5667,0.09588397,0.00282552,0.01203318,0.00935716,0.0045216,0.00212867,0.02205761,0.41744856,0.0,0.43003731,0.00092631,0.30012505,0.00027269,0.2365432,0.01826287,0.2811354,0.0356527,0.08609782
848.6667,0.09595341,0.00264323,0.01133391,0.00877074,0.00532118,0.00173611,0.0237037,0.72806584,0.0,0.38465759,0.0,0.29987032,0.00393626,0.26712036,0.0120242,0.26949585,0.03152483,0.09196629
848.7667,0.09137539,0.00311535,0.01111545,0.00825617,0.00568383,0.001481,0.02469136,0.29596708,0.0,0.21460711,0.0,0.23609374,0.00028455,0.2467514,0.00441028,0.26309383,0.03232238,0.0879462
848.8667,0.08542776,0.00390336,0.01151958,0.0070409,0.00426649,0.00152054,0.02567901,0.66403292,0.0,0.34931958,0.0,0.29635033,0.00046239,0.24973916,0.00027926,0.26140771,0.03553414,0.09804223
848.9667,0.06173804,0.00346402,0.01104649,0.00688754,0.00430073,0.00159047,0.02205761,0.81646091,0.0,0.54741001,0.0,0.26932518,0.0,0.23456322,0.00341968,0.21918602,0.0324598,0.09090738
849.0667,0.05650318,0.00425637,0.01069348,0.00691165,0.00684848,0.00166426,0.03522634,0.91045267,0.00987709,0.60398376,0.0,0.42209717,0.00040311,0.25730342,0.00086414,0.22238439,0.02540309,0.08950358
849.1667,0.06115258,0.00431472,0.0128125,0.00748891,0.00794223,0.00193721,0.03572016,0.83292181,0.02068701,0.64343723,0.0,0.39243203,0.0,0.36074884,5.27e-06,0.24390886,0.03617272,0.14234674
849.2667,0.0508396,0.00293306,0.01539882,0.00695747,0.00729649,0.00327739,0.02995885,0.5744856,0.00268876,0.38268218,4.632e-05,0.33171229,0.0,0.29647634,5.269e-05,0.19562239,0.03709961,0.19390197
849.3667,0.04584635,0.00231867,0.01154321,0.0090326,0.01057195,0.0045843,0.03604938,0.31440329,0.0,0.43925593,0.00738734,0.33189755,0.0,0.29684388,3.161e-05,0.18301332,0.01294943,0.12902817
849.4667,0.04636526,0.00260031,0.012799,0.00889226,0.01193866,0.00499904,0.03572016,0.38502058,0.0,0.41121598,0.00257052,0.32735862,0.0,0.29149673,0.0,0.19216056,0.01270154,0.12813093
849.5667,0.04363571,0.00279225,0.01665895,0.00739439,0.00754003,0.0034727,0.03572016,0.19539095,0.0,0.19556629,0.0,0.29301561,0.00163616,0.3234255,0.0,0.15267357,0.02928307,0.12324323
849.6667,0.04319927,0.00456597,0.02185282,0.006087,0.00491368,0.00229263,0.02683128,0.54106996,0.0,0.44199956,0.0,0.45426335,0.00125676,0.36111638,0.00273469,0.09348523,0.02725416,0.10494266
849.7667,0.04285831,0.00588879,0.02193239,0.00715953,0.0035489,0.00212288,0.02765432,0.60790123,0.0,0.52134548,0.0,0.40952249,0.00335531,0.34550175,0.00082726,0.09755301,0.03932521,0.10956092
849.8667,0.0421113,0.00587529,0.01851997,0.00759693,0.00355565,0.00216628,0.02962963,0.80576132,0.0,0.61144644,0.0,0.38458154,0.00663948,0.35291188,0.02203558,0.13352548,0.03857346,0.10174437
849.9667,0.03802276,0.00542535,0.01500675,0.00689863,0.00340471,0.00171634,0.02962963,0.80855967,0.0,0.51377305,0.02424621,0.39238572,0.04978422,0.35930238,0.01361548,0.1485004,0.03001056,0.07322114
850.0667,0.04149691,0.00573302,0.01245467,0.00793885,0.00453414,0.00167824,0.22683128,0.78074074,0.11550702,0.49105575,0.038303,0.4288824,0.01866167,0.33434506,0.00094318,0.20241959,0.02763138,0.07194398
850.1667,0.0429157,0.00646508,0.01150125,0.00751784,0.00420669,0.00188609,0.20016461,0.67506173,0.14508341,0.48496488,0.03304618,0.42135612,0.0024898,0.32373376,0.00197593,0.24053661,0.02810829,0.06766792
850.2667,0.03210986,0.01287085,0.01074074,0.00772762,0.00397087,0.0019213,0.03489712,0.65333333,0.0166813,0.50916374,0.0570145,0.4018341,0.01907664,0.3162762,0.00280319,0.23007208,0.02703591,0.06406546
