t_s,hp_cur,hp_max,hp_frac
688.3500,19928,20005,0.996151
688.3667,20005,20005,1.000000
688.3833,20005,20005,1.000000
688.4000,20005,20005,1.000000
688.4167,20005,20005,1.000000
688.4333,20005,20005,1.000000
688.4500,20005,20005,1.000000
688.4667,20005,20005,1.000000
688.4833,20005,20005,1.000000
688.5000,20005,20005,1.000000
688.5167,20005,20005,1.000000
688.5333,20005,20005,1.000000
688.5500,20005,20005,1.000000
688.5667,20005,20005,1.000000
688.5833,20005,20005,1.000000
688.6000,20005,20005,1.000000
688.6167,20005,20005,1.000000
688.6333,20005,20005,1.000000
688.6500,20005,20005,1.000000
688.6667,19358,20005,0.967658
688.6833,19360,20005,0.967758
688.7000,20005,20005,1.000000
688.7167,20005,20005,1.000000
688.7333,20005,20005,1.000000
688.7500,20005,20005,1.000000
688.7667,20005,20005,1.000000
688.7833,20005,20005,1.000000
688.8000,20005,20005,1.000000
688.8167,20005,20005,1.000000
688.8333,20005,20005,1.000000
688.8500,20005,20005,1.000000
688.8667,20005,20005,1.000000
688.8833,20005,20005,1.000000
688.9000,20005,20005,1.000000
688.9167,20005,20005,1.000000
688.9333,20005,20005,1.000000
688.9500,20005,20005,1.000000
688.9667,20005,20005,1.000000
688.9833,20005,20005,1.000000
689.0000,20005,20005,1.000000
689.0167,18672,20005,0.933367
689.0333,19408,20005,0.970157
689.0500,19410,20005,0.970257
689.0667,19412,20005,0.970357
689.0833,19414,20005,0.970457
689.1000,19416,20005,0.970557
689.1167,19418,20005,0.970657
689.1333,,,
689.1500,,,
689.1667,,,
689.1833,,,
689.2000,,,
689.2167,,,
689.2333,,,
689.2500,,,
689.2667,,,
689.2833,,,
689.3000,19441,20005,0.971807
689.3167,19443,20005,0.971907
689.3333,19445,20005,0.972007
689.3500,19124,20005,0.955961
689.3667,19873,20005,0.993402
689.3833,19875,20005,0.993502
689.4000,19877,20005,0.993602
689.4167,19879,20005,0.993702
689.4333,19881,20005,0.993802
689.4500,20005,20005,1.000000
689.4667,20005,20005,1.000000
689.4833,20005,20005,1.000000
689.5000,20005,20005,1.000000
689.5167,20005,20005,1.000000
689.5333,18887,20005,0.944114
