mask,t_sec,wave,n_green_total,n_green_player_gated,n_green_offcentre
green_mask2,847.0,160,1,1,0
green_mask2,847.5,160,1,1,0
green_mask2,848.0,160,1,1,0
green_mask2,848.5,160,1,1,0
green_mask2,849.0,160,1,1,0
green_mask2,849.5,160,2,1,1
green_mask2,850.0,160,1,1,0
green_mask2,850.5,160,2,1,1
green_mask2,851.0,160,1,1,0
green_mask2,851.5,160,1,1,0
green_mask2,852.0,160,1,1,0
green_mask2,852.5,160,1,1,0
green_mask2,853.0,160,1,1,0
green_mask2,853.5,160,2,2,0
green_mask2,854.0,160,1,1,0
green_mask2,854.5,160,2,1,1
green_mask2,855.0,160,1,1,0
green_mask2,855.5,160,1,1,0
green_mask2,856.0,160,1,1,0
green_mask2,856.5,160,0,0,0
green_mask2,857.0,160,1,1,0
green_mask2,857.5,160,1,1,0
green_mask2,858.0,160,1,1,0
green_mask2,858.5,160,4,1,3
green_mask2,859.0,160,2,1,1
green_mask2,859.5,160,3,1,2
green_mask2,860.0,160,1,1,0
green_mask2,860.5,160,2,2,0
green_mask2,861.0,160,1,1,0
green_mask2,861.5,160,1,1,0
green_mask2,862.0,160,1,1,0
green_mask2,862.5,160,5,1,4
green_mask2,863.0,160,4,1,3
green_mask2,863.5,160,5,1,4
green_mask,683.0,151,0,0,0
green_mask,683.5,151,0,0,0
green_mask,684.0,151,5,0,5
green_mask,684.5,151,1,0,1
green_mask,685.0,151,0,0,0
green_mask,685.5,151,1,0,1
green_mask,686.0,151,1,0,1
green_mask,686.5,151,2,0,2
green_mask,687.0,151,2,0,2
green_mask,687.5,151,0,0,0
green_mask,688.0,151,0,0,0
green_mask,688.5,151,0,0,0
green_mask,689.0,151,0,0,0
green_mask,689.5,151,0,0,0
green_mask,690.0,151,0,0,0
green_mask,690.5,151,0,0,0
green_mask,691.0,151,5,0,5
green_mask,691.5,151,1,0,1
green_mask,692.0,151,0,0,0
green_mask,692.5,151,0,0,0
green_mask,693.0,151,0,0,0
green_mask,693.5,151,0,0,0
green_mask,694.0,151,0,0,0
green_mask,694.5,151,0,0,0
green_mask,695.0,151,0,0,0
green_mask,695.5,151,0,0,0
green_mask,696.0,151,1,0,1
green_mask,696.5,151,0,0,0
green_mask,697.0,151,0,0,0
green_mask,697.5,151,0,0,0
green_mask,698.0,151,0,0,0
green_mask,698.5,151,0,0,0
green_mask,699.0,152,0,0,0
green_mask,699.5,152,1,0,1
green_mask,700.0,152,3,0,3
green_mask,700.5,152,3,0,3
green_mask,701.0,152,1,0,1
green_mask,701.5,152,4,0,4
green_mask,702.0,152,2,0,2
green_mask,702.5,152,1,0,1
green_mask,703.0,152,2,0,2
green_mask,703.5,152,0,0,0
green_mask,704.0,152,0,0,0
green_mask,704.5,152,7,0,7
green_mask,705.0,152,1,1,0
green_mask,705.5,152,0,0,0
green_mask,706.0,152,0,0,0
green_mask,706.5,152,0,0,0
green_mask,707.0,152,0,0,0
green_mask,707.5,152,0,0,0
green_mask,708.0,152,0,0,0
green_mask,708.5,152,0,0,0
green_mask,709.0,152,0,0,0
green_mask,709.5,152,1,0,1
green_mask,710.0,152,1,1,0
green_mask,710.5,152,0,0,0
green_mask,711.0,152,0,0,0
green_mask,711.5,152,0,0,0
green_mask,712.0,152,0,0,0
green_mask,712.5,152,0,0,0
green_mask,713.0,152,0,0,0
green_mask,713.5,152,0,0,0
green_mask,714.0,152,0,0,0
green_mask,714.5,152,0,0,0
green_mask,715.0,153,1,1,0
green_mask,715.5,153,0,0,0
green_mask,716.0,153,2,0,2
green_mask,716.5,153,3,0,3
green_mask,717.0,153,0,0,0
green_mask,717.5,153,0,0,0
green_mask,718.0,153,0,0,0
green_mask,718.5,153,0,0,0
green_mask,719.0,153,0,0,0
green_mask,719.5,153,1,0,1
green_mask,720.0,153,1,1,0
green_mask,720.5,153,0,0,0
green_mask,721.0,153,1,0,1
green_mask,721.5,153,1,0,1
green_mask,722.0,153,0,0,0
green_mask,722.5,153,0,0,0
green_mask,723.0,153,0,0,0
green_mask,723.5,153,0,0,0
green_mask,724.0,153,0,0,0
green_mask,724.5,153,0,0,0
green_mask,725.0,153,0,0,0
green_mask,725.5,153,0,0,0
green_mask,726.0,153,0,0,0
green_mask,726.5,153,0,0,0
green_mask,727.0,153,1,1,0
green_mask,727.5,153,0,0,0
green_mask,728.0,153,0,0,0
green_mask,728.5,153,0,0,0
green_mask,729.0,153,0,0,0
green_mask,729.5,153,0,0,0
green_mask,730.0,154,0,0,0
green_mask,730.5,154,2,0,2
green_mask,731.0,154,0,0,0
green_mask,731.5,154,0,0,0
green_mask,732.0,154,0,0,0
green_mask,732.5,154,1,0,1
green_mask,733.0,154,1,1,0
green_mask,733.5,154,0,0,0
green_mask,734.0,154,1,0,1
green_mask,734.5,154,0,0,0
green_mask,735.0,154,0,0,0
green_mask,735.5,154,0,0,0
green_mask,736.0,154,0,0,0
green_mask,736.5,154,0,0,0
green_mask,737.0,154,0,0,0
green_mask,737.5,154,0,0,0
green_mask,738.0,154,0,0,0
green_mask,738.5,154,0,0,0
green_mask,739.0,154,0,0,0
green_mask,739.5,154,0,0,0
green_mask,740.0,154,0,0,0
green_mask,740.5,154,0,0,0
green_mask,741.0,154,0,0,0
green_mask,741.5,154,0,0,0
green_mask,742.0,154,0,0,0
green_mask,742.5,154,0,0,0
green_mask,743.0,154,0,0,0
green_mask,743.5,154,0,0,0
green_mask,744.0,155,0,0,0
green_mask,744.5,155,0,0,0
green_mask,745.0,155,0,0,0
green_mask,745.5,155,3,0,3
green_mask,746.0,155,1,0,1
green_mask,746.5,155,0,0,0
green_mask,747.0,155,0,0,0
green_mask,747.5,155,0,0,0
green_mask,748.0,155,0,0,0
green_mask,748.5,155,0,0,0
green_mask,749.0,155,0,0,0
green_mask,749.5,155,0,0,0
green_mask,750.0,155,0,0,0
green_mask,750.5,155,1,0,1
green_mask,751.0,155,0,0,0
green_mask,751.5,155,0,0,0
green_mask,752.0,155,0,0,0
green_mask,752.5,155,0,0,0
green_mask,753.0,155,0,0,0
green_mask,753.5,155,0,0,0
green_mask,754.0,155,0,0,0
green_mask,754.5,155,0,0,0
green_mask,755.0,155,0,0,0
green_mask,755.5,155,0,0,0
green_mask,756.0,155,0,0,0
green_mask,756.5,155,0,0,0
green_mask,757.0,155,0,0,0
green_mask,757.5,155,1,0,1
green_mask,758.0,155,0,0,0
green_mask,758.5,155,1,0,1
green_mask,759.0,155,0,0,0
green_mask,759.5,155,0,0,0
green_mask,760.0,155,1,1,0
green_mask,760.5,156,0,0,0
green_mask,761.0,156,0,0,0
green_mask,761.5,156,0,0,0
green_mask,762.0,156,0,0,0
green_mask,762.5,156,0,0,0
green_mask,763.0,156,1,0,1
green_mask,763.5,156,0,0,0
green_mask,764.0,156,0,0,0
green_mask,764.5,156,0,0,0
green_mask,765.0,156,1,0,1
green_mask,765.5,156,0,0,0
green_mask,766.0,156,0,0,0
green_mask,766.5,156,0,0,0
green_mask,767.0,156,4,0,4
green_mask,767.5,156,0,0,0
green_mask,768.0,156,0,0,0
green_mask,768.5,156,0,0,0
green_mask,769.0,156,0,0,0
green_mask,769.5,156,1,1,0
green_mask,770.0,156,0,0,0
green_mask,770.5,156,0,0,0
green_mask,771.0,156,0,0,0
green_mask,771.5,156,0,0,0
green_mask,772.0,156,0,0,0
green_mask,772.5,156,0,0,0
green_mask,773.0,156,0,0,0
green_mask,773.5,156,0,0,0
green_mask,774.0,156,0,0,0
green_mask,774.5,156,0,0,0
green_mask,775.0,156,0,0,0
green_mask,775.5,156,0,0,0
green_mask,776.0,156,0,0,0
green_mask,776.5,156,0,0,0
green_mask,777.0,156,0,0,0
green_mask,777.5,156,0,0,0
green_mask,778.0,156,0,0,0
green_mask,778.5,156,0,0,0
green_mask,779.0,156,1,1,0
green_mask,779.5,156,0,0,0
green_mask,780.0,156,0,0,0
green_mask,780.5,157,1,1,0
green_mask,781.0,157,0,0,0
green_mask,781.5,157,0,0,0
green_mask,782.0,157,0,0,0
green_mask,782.5,157,0,0,0
green_mask,783.0,157,0,0,0
green_mask,783.5,157,0,0,0
green_mask,784.0,157,0,0,0
green_mask,784.5,157,0,0,0
green_mask,785.0,157,0,0,0
green_mask,785.5,157,0,0,0
green_mask,786.0,157,0,0,0
green_mask,786.5,157,0,0,0
green_mask,787.0,157,0,0,0
green_mask,787.5,157,0,0,0
green_mask,788.0,157,1,0,1
green_mask,788.5,157,0,0,0
green_mask,789.0,157,0,0,0
green_mask,789.5,157,1,0,1
green_mask,790.0,157,1,0,1
green_mask,790.5,157,0,0,0
green_mask,791.0,157,1,1,0
green_mask,791.5,157,0,0,0
green_mask,792.0,157,0,0,0
green_mask,792.5,157,0,0,0
green_mask,793.0,157,0,0,0
green_mask,793.5,157,0,0,0
green_mask,794.0,157,2,0,2
green_mask,794.5,157,0,0,0
green_mask,795.0,157,0,0,0
green_mask,795.5,157,0,0,0
green_mask,796.0,157,0,0,0
green_mask,796.5,157,0,0,0
green_mask,797.0,157,0,0,0
green_mask,797.5,157,1,0,1
green_mask,798.0,157,0,0,0
green_mask,798.5,157,0,0,0
green_mask,799.0,157,0,0,0
green_mask,799.5,157,0,0,0
green_mask,800.0,158,0,0,0
green_mask,800.5,158,0,0,0
green_mask,801.0,158,0,0,0
green_mask,801.5,158,2,0,2
green_mask,802.0,158,0,0,0
green_mask,802.5,158,0,0,0
green_mask,803.0,158,0,0,0
green_mask,803.5,158,0,0,0
green_mask,804.0,158,0,0,0
green_mask,804.5,158,0,0,0
green_mask,805.0,158,0,0,0
green_mask,805.5,158,0,0,0
green_mask,806.0,158,0,0,0
green_mask,806.5,158,0,0,0
green_mask,807.0,158,0,0,0
green_mask,807.5,158,0,0,0
green_mask,808.0,158,0,0,0
green_mask,808.5,158,0,0,0
green_mask,809.0,158,0,0,0
green_mask,809.5,158,0,0,0
green_mask,810.0,158,0,0,0
green_mask,810.5,158,0,0,0
green_mask,811.0,158,0,0,0
green_mask,811.5,158,0,0,0
green_mask,812.0,158,0,0,0
green_mask,812.5,158,0,0,0
green_mask,813.0,159,0,0,0
green_mask,813.5,159,0,0,0
green_mask,814.0,159,0,0,0
green_mask,814.5,159,1,1,0
green_mask,815.0,159,0,0,0
green_mask,815.5,159,0,0,0
green_mask,816.0,159,0,0,0
green_mask,816.5,159,0,0,0
green_mask,817.0,159,0,0,0
green_mask,817.5,159,0,0,0
green_mask,818.0,159,0,0,0
green_mask,818.5,159,0,0,0
green_mask,819.0,159,0,0,0
green_mask,819.5,159,0,0,0
green_mask,820.0,159,1,0,1
green_mask,820.5,159,1,0,1
green_mask,821.0,159,1,0,1
green_mask,821.5,159,0,0,0
green_mask,822.0,159,2,0,2
green_mask,822.5,159,0,0,0
green_mask,823.0,159,1,0,1
green_mask,823.5,159,1,0,1
green_mask,824.0,159,1,0,1
green_mask,824.5,159,2,0,2
green_mask,825.0,159,4,0,4
green_mask,825.5,159,1,0,1
green_mask,826.0,159,0,0,0
green_mask,826.5,159,0,0,0
green_mask,827.0,159,0,0,0
green_mask,827.5,159,2,0,2
green_mask,828.0,159,0,0,0
green_mask,828.5,159,1,0,1
green_mask,829.0,159,0,0,0
green_mask,829.5,159,2,0,2
green_mask,830.0,159,4,0,4
green_mask,830.5,159,5,0,5
green_mask,831.0,159,0,0,0
green_mask,831.5,159,5,0,5
green_mask,832.0,159,4,0,4
green_mask,832.5,159,4,0,4
green_mask,833.0,159,0,0,0
green_mask,833.5,159,0,0,0
green_mask,834.0,159,0,0,0
green_mask,834.5,159,0,0,0
green_mask,835.0,159,0,0,0
green_mask,835.5,159,0,0,0
green_mask,836.0,159,0,0,0
green_mask,836.5,159,0,0,0
green_mask,837.0,159,1,1,0
green_mask,837.5,159,3,0,3
green_mask,838.0,159,1,0,1
green_mask,838.5,159,1,0,1
green_mask,839.0,160,0,0,0
green_mask,839.5,160,0,0,0
green_mask,840.0,160,0,0,0
green_mask,840.5,160,0,0,0
green_mask,841.0,160,0,0,0
green_mask,841.5,160,0,0,0
green_mask,842.0,160,0,0,0
green_mask,842.5,160,0,0,0
green_mask,843.0,160,0,0,0
green_mask,843.5,160,0,0,0
green_mask,844.0,160,0,0,0
green_mask,844.5,160,1,0,1
green_mask,845.0,160,2,0,2
green_mask,845.5,160,4,0,4
green_mask,846.0,160,1,0,1
green_mask,846.5,160,0,0,0
green_mask,847.0,160,0,0,0
green_mask,847.5,160,0,0,0
green_mask,848.0,160,0,0,0
green_mask,848.5,160,0,0,0
green_mask,849.0,160,0,0,0
green_mask,849.5,160,0,0,0
green_mask,850.0,160,0,0,0
green_mask,850.5,160,0,0,0
green_mask,851.0,160,0,0,0
green_mask,851.5,160,0,0,0
green_mask,852.0,160,0,0,0
green_mask,852.5,160,0,0,0
green_mask,853.0,160,0,0,0
green_mask,853.5,160,0,0,0
green_mask,854.0,160,0,0,0
green_mask,854.5,160,0,0,0
green_mask,855.0,160,0,0,0
green_mask,855.5,160,1,0,1
green_mask,856.0,160,1,0,1
green_mask,856.5,160,0,0,0
green_mask,857.0,160,0,0,0
green_mask,857.5,160,0,0,0
green_mask,858.0,160,0,0,0
green_mask,858.5,160,1,0,1
green_mask,859.0,160,3,0,3
green_mask,859.5,160,0,0,0
green_mask,860.0,160,0,0,0
green_mask,860.5,160,0,0,0
green_mask,861.0,160,0,0,0
green_mask,861.5,160,0,0,0
green_mask,862.0,160,0,0,0
green_mask,862.5,160,1,0,1
green_mask,863.0,160,3,0,3
green_mask,863.5,160,2,0,2
