kit_id,median_displacement,pct_of_diameter
d3-ww-wastes,0.10506139153356676,2.379931441105194
d3-zbarb,0.29620267461763167,6.709810787502528
d3-zero-dogs,0.10234853925373073,2.318477824875555
d3-znec,0.1439018516397395,3.2597754146560205
d3-zuni-carnevil,0.12274654895108164,2.7805492281387014
d4-andariel-flurry,0.09294621677864096,2.105489185078919
d4-auradin-paladin,0.15882408017085164,3.597805211655275
d4-ball-lightning,0.15592117667486033,3.532046409113652
d4-bash,0.14970552736519732,3.3912447406508415
d4-blazing-abyss-warlock,0.1481414499308093,3.3558140557142737
d4-blood-lance,0.20731542225996683,4.696268386135512
d4-blood-surge,0.12168864387683884,2.7565847487886375
d4-blood-wave,0.204546030498003,4.633533994073613
d4-bone-spear,0.1623948920661502,3.6786939889296386
d4-bouldercane,0.15346593991181,3.4764284976958892
d4-cataclysm,0.1862811198317111,4.219783190575094
d4-chain-lightning,0.2241163421788379,5.076855745304809
d4-dance-of-knives,0.20540667214510094,4.653029910561627
d4-death-trap,0.16418752866770656,3.7193021719000394
d4-dread-claws-warlock,0.16560985823881444,3.7515218752228514
d4-earthquake-barb,0.22772378564342255,5.158574329059065
d4-evade-sb,0.11406642073000313,2.5839202880054555
d4-flame-shield-immortal,0.1459061470495989,3.305178255733593
d4-frozen-orb,0.18532615198641977,4.198150524501686
d4-hammerdin-paladin,0.24923478460271226,5.645858021055837
d4-heartseeker,0.2034537682069317,4.608791228624674
d4-hota,0.09517473168756901,2.1559712186910005
d4-ice-shards,0.1158432496932027,2.6241703841945387
d4-infinimist,0.21000438656265275,4.757180873535101
d4-lightning-spear,0.1487830804606705,3.370348763938672
d4-lightning-storm,0.13864530743286144,3.1407001326052253
d4-mighty-throw,0.0838540756048653,1.8995270106723265
d4-minion-necro,0.10398650250061728,2.3555822280605687
d4-payback-sb,0.2003133978347121,4.537653143772897
d4-pen-shot,0.12136573807318556,2.749270038185511
d4-pulverize,0.09955286395514917,2.255148037928181
d4-quill-volley,0.1422878538454415,3.2232138953342715
d4-rabies-lacerate,0.2466746625718841,5.587864167887735
d4-rapid-fire,0.12852618157043932,2.9114739112031915
d4-shadowblight,0.17124336810756136,3.879136473361155
d4-thorns-barb,0.24268658259179307,5.497523113046211
d4-tornado-werewolf,0.17886828844228095,4.051862032918623
d4-touch-of-death,0.13898655506333008,3.1484303363756125
d4-twisting-blades,0.14299749685213747,3.239289274490625
d4-wing-strike-arbiter,0.13280110866037756,3.008312847383908
d4-ww-dust-devils,0.15382045541424613,3.484459255506073
di-blood-knight,0.16522484824373676,3.7428003327128003
di-bombardment-wizard-pvp,0.14639235277996077,3.316192161866409
di-bone-wall-necro-pvp,0.16596434340715427,3.7595519458817557
di-corpse-explosion-necro,0.13876956781045152,3.143514974243942
di-crusader-banner-support,0.10702699576896108,2.42445781994237
di-cyclone-monk-pvp,0.3403190068117091,7.709167873129754
di-draw-quarter-crusader,0.22437212307742144,5.082649890934211
di-druid-bear,0.15351666185679533,3.477577490202675
di-frenzy-barb,0.3640418446504779,8.24655584049441
di-hota-wotb-barb,0.14764309088422464,3.344524843315568
di-meteor-wizard,0.1734959533037267,3.9301637656315913
di-minion-necro,0.18375039522899544,4.162455270557424
di-monk-sss,0.17873918616548143,4.04893750885523
di-multishot-dh,0.17234806077902312,3.904160821346594
di-ray-of-frost-wizard,0.17157104403270834,3.8865592404249387
di-spiritform-druid-pvp,0.14307704338728877,3.2410912237821217
di-tempest,0.17345482104017665,3.9292320059638612
di-vengeance-strafe-dh,0.22670035801236,5.135390859267659
di-warlock-launch,0.131308216784001,2.9744947124544474
di-whirlwind-barb,0.1498568931344621,3.3946735944678523
gd-aar-spellbinder,0.1720910714948861,3.898339302438295
gd-aegis-paladin,0.1705321783011526,3.863026054908104
gd-belgothian-blademaster,0.16076711639612842,3.641820362570776
gd-berserker-wereforms,0.1046067579972437,2.3696327325931295
gd-blade-arc-warder,0.13460141216910085,3.04909470703188
gd-blight-fiend-ritualist,0.18371093931920535,4.161561484944306
gd-bloody-pox-conjurer,0.21048433840082276,4.768053111692275
gd-bwc-demolitionist,0.12095016779472706,2.7398562206331687
