kit_id,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,leiden_cluster,lca_class,franchise_rollup,gateA_group
chr-mechanist-saw-master,0.18875091545811262,0.5846719928673427,-0.16714839932442294,0.13616045970767018,-0.31431951509310335,-0.14033131081024092,-0.1364390519529918,-0.22222502277433034,-0.008598082102282396,-0.20764114450662247,0.02996122497654876,-0.4641488644496592,-0.07469892996516805,-0.28474167089506397,99,0,chronicon,
chr-mechanist-turret-drone,-0.5691472763640543,-0.2372685950130877,-0.33869611275215517,-0.5291688808646597,-0.29058935970338484,-0.136707438200124,0.05164000475463192,-0.34178363717102395,-0.05631968689531838,-0.07750447247618752,0.0459981810324361,0.25005034638786083,-0.028896969932151025,-0.04943871082099841,6,2,chronicon,TOTEM-SENTRY
chr-pet-warden,0.03296623151703948,-1.096491917468454,-0.3348034933395158,-0.5844041406702715,0.5298052795335347,-0.4809898827129816,-0.5038296872825083,-0.13300949312873903,0.5307168013958585,0.3337207439880029,0.15966056566009604,0.3571820121262639,0.6672866989697646,-0.25870813000268494,3,1,chronicon,MINION-PET
chr-plague-curse-warlock,-0.21077889069286723,0.4369594551487983,1.1082081655461349,0.09416645211857935,0.4570860492211156,-0.1099020380218065,-0.22254158533097312,-0.018115625754650266,0.13975416392407852,0.03902727295295739,-0.33621161266866845,-0.017076133497720934,-0.19939549356819763,0.7687897940979097,48,2,chronicon,
chr-thorns-templar,0.2538628007394316,-0.4247423149984834,0.977483517210763,-0.04665865543155487,0.8905560427367178,-0.1233152375015692,-1.2890870336068034,-0.11754677945733517,0.5664991108223344,0.31090050532735236,0.22456697166691786,0.4003236078057927,0.43921829733524015,-0.986091614675965,100,1,chronicon,
d2-auradin,0.41780013700776936,-0.0669582989923065,-0.14872084884820014,0.11861094489880496,0.8579231134439161,0.9711670325632361,0.11375912010630253,0.023022071254997542,0.13643666102236304,0.009966161221811744,0.510033141638458,-0.02769891282892381,-0.44118368673389563,-0.6668811454927952,61,1,Diablo,AURA
d2-avenger,0.005586341650768213,0.09638870874827878,-0.1280018356319824,0.21392833481347265,0.05076716400743796,0.23046233195071245,0.6125822268213597,0.18374366871306247,0.2093646512397442,0.05353325497406556,0.092630819721354,0.15266115729203134,0.37548952251880513,-0.5310834969718173,15,2,Diablo,
d2-berserker,-0.08519077789100081,0.0723749737068198,0.18766231681784512,0.1280636315987875,-0.006810696388117518,0.18871952089118205,0.7138420384042178,0.1676516264099813,0.49565809605303757,-0.008002152380285506,0.03838326748432257,0.00829115520686872,0.32151556557946254,-0.113964831656861,15,2,Diablo,
d2-blizzard-sorc,-0.15128125150505925,0.37404510201203117,0.1403978021681764,-0.19603330056947274,0.0799742111528558,0.04625398709766812,0.052923948071163955,0.2920541044580033,-0.2727574422731341,-0.24795080221887075,-0.32769354601706374,0.3140104929472459,0.4293700690380768,0.4650903196312372,73,2,Diablo,
d2-bonemancer,0.27421405407483124,0.5553174545136933,-0.3108481191337619,-0.1521557508395003,0.1615550780908357,0.02140070437715405,-0.25818622658521756,-0.22731402093602454,0.16371216277785547,0.21216379524160803,0.17325600140190087,0.413886335667236,0.008206969173992646,0.21705440283458607,13,0,Diablo,
d2-bowazon,0.2788397071760954,0.6104429908485538,-0.3563262251478094,-0.08786696498080818,-0.2089249928929313,0.1993177368057183,-0.09400337286054017,0.08865985536303256,0.019030687853486977,-0.17821667610711217,-0.02433828524521252,0.29878203008091536,-0.042774556430441965,-0.45322410447573425,58,0,Diablo,
d2-bvc,0.7113529540043162,-1.2105495596705103,0.1373691963086575,0.4408346505344378,-1.0001606022707388,0.22568377743940082,-0.047299137960439046,0.3843698881262712,0.16424029376544616,-0.6310963648018124,0.0718998526038082,-0.12204762292707765,0.13473581279835525,0.41025942365139284,101,1,Diablo,WHIRLWIND
